,geometry,weight,time
0,"LINESTRING (127.3692431438849 36.35264067625897, 127.36382319393945 36.35656045454545)",24,2019-11-1 01:00:00
1,"LINESTRING (127.36382319393945 36.35656045454545, 127.35872946428572 36.35365057142857)",15,2019-11-1 01:00:00
2,"LINESTRING (127.35872946428572 36.35365057142857, 127.35335435593221 36.35115381355932)",15,2019-11-1 01:00:00
3,"LINESTRING (127.35335435593221 36.35115381355932, 127.3473632 36.35295772941177)",14,2019-11-1 01:00:00
4,"LINESTRING (127.3473632 36.35295772941177, 127.34129909629631 36.35473077777777)",17,2019-11-1 01:00:00
5,"LINESTRING (127.34129909629631 36.35473077777777, 127.3433113529412 36.36088533823528)",17,2019-11-1 01:00:00
6,"LINESTRING (127.3433113529412 36.36088533823528, 127.34129909629631 36.35473077777777)",14,2019-11-1 01:00:00
7,"LINESTRING (127.34129909629631 36.35473077777777, 127.3473632 36.35295772941177)",10,2019-11-1 01:00:00
8,"LINESTRING (127.3473632 36.35295772941177, 127.35335435593221 36.35115381355932)",9,2019-11-1 01:00:00
9,"LINESTRING (127.35335435593221 36.35115381355932, 127.35872946428572 36.35365057142857)",11,2019-11-1 01:00:00
10,"LINESTRING (127.35872946428572 36.35365057142857, 127.36382319393945 36.35656045454545)",14,2019-11-1 01:00:00
11,"LINESTRING (127.36382319393945 36.35656045454545, 127.3692431438849 36.35264067625897)",20,2019-11-1 01:00:00
12,"LINESTRING (127.3692431438849 36.35264067625897, 127.36922869135809 36.345886629629646)",12,2019-11-1 01:00:00
13,"LINESTRING (127.36922869135809 36.345886629629646, 127.3692431438849 36.35264067625897)",16,2019-11-1 01:00:00
14,"LINESTRING (127.3692431438849 36.35264067625897, 127.36936118750002 36.357927275)",12,2019-11-1 01:00:00
15,"LINESTRING (127.36936118750002 36.357927275, 127.3691087105263 36.36584739473684)",2,2019-11-1 01:00:00
16,"LINESTRING (127.34129909629631 36.35473077777777, 127.3402333333334 36.348848196078436)",12,2019-11-1 01:00:00
17,"LINESTRING (127.3402333333334 36.348848196078436, 127.33985586363637 36.34475077272727)",9,2019-11-1 01:00:00
18,"LINESTRING (127.33985586363637 36.34475077272727, 127.3473051904762 36.348048261904765)",1,2019-11-1 01:00:00
19,"LINESTRING (127.3473051904762 36.348048261904765, 127.35335435593221 36.35115381355932)",4,2019-11-1 01:00:00
20,"LINESTRING (127.37000631428566 36.33390959999999, 127.3692431438849 36.35264067625897)",1,2019-11-1 01:00:00
21,"LINESTRING (127.3433113529412 36.36088533823528, 127.34497272277227 36.36096766336632)",37,2019-11-1 01:00:00
22,"LINESTRING (127.34497272277227 36.36096766336632, 127.3495807 36.360112300000004)",27,2019-11-1 01:00:00
23,"LINESTRING (127.3473632 36.35295772941177, 127.3473051904762 36.348048261904765)",6,2019-11-1 01:00:00
24,"LINESTRING (127.3473051904762 36.348048261904765, 127.34635427272728 36.34206486363635)",5,2019-11-1 01:00:00
25,"LINESTRING (127.34635427272728 36.34206486363635, 127.34836184210526 36.339842736842094)",3,2019-11-1 01:00:00
26,"LINESTRING (127.34836184210526 36.339842736842094, 127.34771809090911 36.332609727272725)",3,2019-11-1 01:00:00
27,"LINESTRING (127.34771809090911 36.332609727272725, 127.3691087105263 36.36584739473684)",1,2019-11-1 01:00:00
28,"LINESTRING (127.3691087105263 36.36584739473684, 127.36375879411762 36.36332888235296)",9,2019-11-1 01:00:00
29,"LINESTRING (127.36375879411762 36.36332888235296, 127.35785920967743 36.359401596774205)",6,2019-11-1 01:00:00
30,"LINESTRING (127.35785920967743 36.359401596774205, 127.36375879411762 36.36332888235296)",8,2019-11-1 01:00:00
31,"LINESTRING (127.35785920967743 36.359401596774205, 127.35128737037039 36.359890814814825)",16,2019-11-1 01:00:00
32,"LINESTRING (127.35128737037039 36.359890814814825, 127.3495807 36.360112300000004)",20,2019-11-1 01:00:00
33,"LINESTRING (127.3495807 36.360112300000004, 127.34497272277227 36.36096766336632)",23,2019-11-1 01:00:00
34,"LINESTRING (127.34497272277227 36.36096766336632, 127.3433113529412 36.36088533823528)",35,2019-11-1 01:00:00
35,"LINESTRING (127.34129909629631 36.35473077777777, 127.33625815789473 36.35537899999999)",10,2019-11-1 01:00:00
36,"LINESTRING (127.33625815789473 36.35537899999999, 127.33785525185188 36.363540859259246)",3,2019-11-1 01:00:00
37,"LINESTRING (127.33785525185188 36.363540859259246, 127.3433113529412 36.36088533823528)",26,2019-11-1 01:00:00
38,"LINESTRING (127.3495807 36.360112300000004, 127.35128737037039 36.359890814814825)",23,2019-11-1 01:00:00
39,"LINESTRING (127.35128737037039 36.359890814814825, 127.35785920967743 36.359401596774205)",23,2019-11-1 01:00:00
40,"LINESTRING (127.35785920967743 36.359401596774205, 127.36382319393945 36.35656045454545)",21,2019-11-1 01:00:00
41,"LINESTRING (127.36382319393945 36.35656045454545, 127.36936118750002 36.357927275)",24,2019-11-1 01:00:00
42,"LINESTRING (127.36382319393945 36.35656045454545, 127.35785920967743 36.359401596774205)",18,2019-11-1 01:00:00
43,"LINESTRING (127.35785920967743 36.359401596774205, 127.35245284848486 36.35653766666667)",6,2019-11-1 01:00:00
44,"LINESTRING (127.35245284848486 36.35653766666667, 127.35128737037039 36.359890814814825)",7,2019-11-1 01:00:00
45,"LINESTRING (127.32555340384621 36.36694562499999, 127.33204491346146 36.366280625)",24,2019-11-1 01:00:00
46,"LINESTRING (127.33204491346146 36.366280625, 127.33785525185188 36.363540859259246)",22,2019-11-1 01:00:00
47,"LINESTRING (127.36936118750002 36.357927275, 127.3692431438849 36.35264067625897)",8,2019-11-1 01:00:00
48,"LINESTRING (127.36936118750002 36.357927275, 127.36382319393945 36.35656045454545)",21,2019-11-1 01:00:00
49,"LINESTRING (127.36382319393945 36.35656045454545, 127.36375879411762 36.36332888235296)",2,2019-11-1 01:00:00
50,"LINESTRING (127.36375879411762 36.36332888235296, 127.3691087105263 36.36584739473684)",12,2019-11-1 01:00:00
51,"LINESTRING (127.36382319393945 36.35656045454545, 127.3473632 36.35295772941177)",1,2019-11-1 01:00:00
52,"LINESTRING (127.3473051904762 36.348048261904765, 127.3402333333334 36.348848196078436)",6,2019-11-1 01:00:00
53,"LINESTRING (127.3402333333334 36.348848196078436, 127.3473051904762 36.348048261904765)",4,2019-11-1 01:00:00
54,"LINESTRING (127.34635427272728 36.34206486363635, 127.34396742857143 36.34085042857142)",2,2019-11-1 01:00:00
55,"LINESTRING (127.34396742857143 36.34085042857142, 127.34635427272728 36.34206486363635)",4,2019-11-1 01:00:00
56,"LINESTRING (127.34635427272728 36.34206486363635, 127.3473632 36.35295772941177)",1,2019-11-1 01:00:00
57,"LINESTRING (127.3402333333334 36.348848196078436, 127.34129909629631 36.35473077777777)",8,2019-11-1 01:00:00
58,"LINESTRING (127.33985586363637 36.34475077272727, 127.33579033333334 36.33835288888889)",2,2019-11-1 01:00:00
59,"LINESTRING (127.33579033333334 36.33835288888889, 127.33434280000002 36.343541800000004)",1,2019-11-1 01:00:00
60,"LINESTRING (127.33434280000002 36.343541800000004, 127.32883800000002 36.34882905882353)",1,2019-11-1 01:00:00
61,"LINESTRING (127.32883800000002 36.34882905882353, 127.32996172727272 36.35327427272727)",4,2019-11-1 01:00:00
62,"LINESTRING (127.32996172727272 36.35327427272727, 127.33190254166674 36.35724764583333)",5,2019-11-1 01:00:00
63,"LINESTRING (127.33190254166674 36.35724764583333, 127.32996172727272 36.35327427272727)",3,2019-11-1 01:00:00
64,"LINESTRING (127.33190254166674 36.35724764583333, 127.32593590625001 36.35955465625001)",9,2019-11-1 01:00:00
65,"LINESTRING (127.32593590625001 36.35955465625001, 127.32555340384621 36.36694562499999)",6,2019-11-1 01:00:00
66,"LINESTRING (127.3433113529412 36.36088533823528, 127.33785525185188 36.363540859259246)",24,2019-11-1 01:00:00
67,"LINESTRING (127.33785525185188 36.363540859259246, 127.33204491346146 36.366280625)",24,2019-11-1 01:00:00
68,"LINESTRING (127.33204491346146 36.366280625, 127.32555340384621 36.36694562499999)",23,2019-11-1 01:00:00
69,"LINESTRING (127.32555340384621 36.36694562499999, 127.3188270909091 36.366960863636365)",12,2019-11-1 01:00:00
70,"LINESTRING (127.3188270909091 36.366960863636365, 127.32593590625001 36.35955465625001)",1,2019-11-1 01:00:00
71,"LINESTRING (127.32593590625001 36.35955465625001, 127.33190254166674 36.35724764583333)",6,2019-11-1 01:00:00
72,"LINESTRING (127.33190254166674 36.35724764583333, 127.33625815789473 36.35537899999999)",5,2019-11-1 01:00:00
73,"LINESTRING (127.33625815789473 36.35537899999999, 127.34129909629631 36.35473077777777)",10,2019-11-1 01:00:00
74,"LINESTRING (127.34635427272728 36.34206486363635, 127.3473051904762 36.348048261904765)",7,2019-11-1 01:00:00
75,"LINESTRING (127.37000631428566 36.33390959999999, 127.36663523999997 36.33559364)",20,2019-11-1 01:00:00
76,"LINESTRING (127.36663523999997 36.33559364, 127.36677522727273 36.34103995454546)",8,2019-11-1 01:00:00
77,"LINESTRING (127.36677522727273 36.34103995454546, 127.36922869135809 36.345886629629646)",8,2019-11-1 01:00:00
78,"LINESTRING (127.33625815789473 36.35537899999999, 127.33190254166674 36.35724764583333)",6,2019-11-1 01:00:00
79,"LINESTRING (127.33987283333333 36.33154577083331, 127.33226133333336 36.331914958333336)",6,2019-11-1 01:00:00
80,"LINESTRING (127.33226133333336 36.331914958333336, 127.33987283333333 36.33154577083331)",6,2019-11-1 01:00:00
81,"LINESTRING (127.33987283333333 36.33154577083331, 127.34771809090911 36.332609727272725)",6,2019-11-1 01:00:00
82,"LINESTRING (127.34771809090911 36.332609727272725, 127.35204940909092 36.33220486363637)",4,2019-11-1 01:00:00
83,"LINESTRING (127.35204940909092 36.33220486363637, 127.35783820000003 36.33271963333333)",4,2019-11-1 01:00:00
84,"LINESTRING (127.35783820000003 36.33271963333333, 127.36663523999997 36.33559364)",1,2019-11-1 01:00:00
85,"LINESTRING (127.36922869135809 36.345886629629646, 127.36936118750002 36.357927275)",2,2019-11-1 01:00:00
86,"LINESTRING (127.36936118750002 36.357927275, 127.37000631428566 36.33390959999999)",1,2019-11-1 01:00:00
87,"LINESTRING (127.36663523999997 36.33559364, 127.35783820000003 36.33271963333333)",10,2019-11-1 01:00:00
88,"LINESTRING (127.35783820000003 36.33271963333333, 127.35204940909092 36.33220486363637)",10,2019-11-1 01:00:00
89,"LINESTRING (127.35204940909092 36.33220486363637, 127.34771809090911 36.332609727272725)",12,2019-11-1 01:00:00
90,"LINESTRING (127.34771809090911 36.332609727272725, 127.34790808333334 36.32818483333333)",7,2019-11-1 01:00:00
91,"LINESTRING (127.34790808333334 36.32818483333333, 127.34771809090911 36.332609727272725)",4,2019-11-1 01:00:00
92,"LINESTRING (127.3188270909091 36.366960863636365, 127.32555340384621 36.36694562499999)",4,2019-11-1 01:00:00
93,"LINESTRING (127.3691087105263 36.36584739473684, 127.36936118750002 36.357927275)",3,2019-11-1 01:00:00
94,"LINESTRING (127.3188270909091 36.366960863636365, 127.31888511111111 36.35939388888889)",2,2019-11-1 01:00:00
95,"LINESTRING (127.31888511111111 36.35939388888889, 127.32593590625001 36.35955465625001)",5,2019-11-1 01:00:00
96,"LINESTRING (127.35335435593221 36.35115381355932, 127.3473051904762 36.348048261904765)",3,2019-11-1 01:00:00
97,"LINESTRING (127.3402333333334 36.348848196078436, 127.33517964705882 36.34768929411764)",4,2019-11-1 01:00:00
98,"LINESTRING (127.33517964705882 36.34768929411764, 127.33985586363637 36.34475077272727)",1,2019-11-1 01:00:00
99,"LINESTRING (127.33985586363637 36.34475077272727, 127.3402333333334 36.348848196078436)",4,2019-11-1 01:00:00
100,"LINESTRING (127.35128737037039 36.359890814814825, 127.35245284848486 36.35653766666667)",6,2019-11-1 01:00:00
101,"LINESTRING (127.33985586363637 36.34475077272727, 127.33434280000002 36.343541800000004)",1,2019-11-1 01:00:00
102,"LINESTRING (127.33434280000002 36.343541800000004, 127.33517964705882 36.34768929411764)",2,2019-11-1 01:00:00
103,"LINESTRING (127.33517964705882 36.34768929411764, 127.3402333333334 36.348848196078436)",5,2019-11-1 01:00:00
104,"LINESTRING (127.3692431438849 36.35264067625897, 127.37000631428566 36.33390959999999)",1,2019-11-1 01:00:00
105,"LINESTRING (127.34771809090911 36.332609727272725, 127.33987283333333 36.33154577083331)",6,2019-11-1 01:00:00
106,"LINESTRING (127.33987283333333 36.33154577083331, 127.33579033333334 36.33835288888889)",1,2019-11-1 01:00:00
107,"LINESTRING (127.33579033333334 36.33835288888889, 127.34396742857143 36.34085042857142)",1,2019-11-1 01:00:00
108,"LINESTRING (127.34396742857143 36.34085042857142, 127.34836184210526 36.339842736842094)",1,2019-11-1 01:00:00
109,"LINESTRING (127.34836184210526 36.339842736842094, 127.34635427272728 36.34206486363635)",4,2019-11-1 01:00:00
110,"LINESTRING (127.3473051904762 36.348048261904765, 127.3473632 36.35295772941177)",4,2019-11-1 01:00:00
111,"LINESTRING (127.34790808333334 36.32818483333333, 127.35128737037039 36.359890814814825)",1,2019-11-1 01:00:00
112,"LINESTRING (127.34497272277227 36.36096766336632, 127.33785525185188 36.363540859259246)",2,2019-11-1 01:00:00
113,"LINESTRING (127.36663523999997 36.33559364, 127.35204940909092 36.33220486363637)",2,2019-11-1 01:00:00
114,"LINESTRING (127.3433113529412 36.36088533823528, 127.35128737037039 36.359890814814825)",1,2019-11-1 01:00:00
115,"LINESTRING (127.35785920967743 36.359401596774205, 127.35872946428572 36.35365057142857)",2,2019-11-1 01:00:00
116,"LINESTRING (127.35872946428572 36.35365057142857, 127.35245284848486 36.35653766666667)",2,2019-11-1 01:00:00
117,"LINESTRING (127.35245284848486 36.35653766666667, 127.35335435593221 36.35115381355932)",2,2019-11-1 01:00:00
118,"LINESTRING (127.3473632 36.35295772941177, 127.35245284848486 36.35653766666667)",8,2019-11-1 01:00:00
119,"LINESTRING (127.35245284848486 36.35653766666667, 127.3473632 36.35295772941177)",9,2019-11-1 01:00:00
120,"LINESTRING (127.35245284848486 36.35653766666667, 127.35785920967743 36.359401596774205)",5,2019-11-1 01:00:00
121,"LINESTRING (127.36382319393945 36.35656045454545, 127.33785525185188 36.363540859259246)",1,2019-11-1 01:00:00
122,"LINESTRING (127.3495807 36.360112300000004, 127.35245284848486 36.35653766666667)",2,2019-11-1 01:00:00
123,"LINESTRING (127.33190254166674 36.35724764583333, 127.33785525185188 36.363540859259246)",1,2019-11-1 01:00:00
124,"LINESTRING (127.33785525185188 36.363540859259246, 127.34497272277227 36.36096766336632)",2,2019-11-1 01:00:00
125,"LINESTRING (127.3393509 36.3677, 127.33785525185188 36.363540859259246)",5,2019-11-1 01:00:00
126,"LINESTRING (127.33985586363637 36.34475077272727, 127.33517964705882 36.34768929411764)",3,2019-11-1 01:00:00
127,"LINESTRING (127.33517964705882 36.34768929411764, 127.32883800000002 36.34882905882353)",3,2019-11-1 01:00:00
128,"LINESTRING (127.36663523999997 36.33559364, 127.33987283333333 36.33154577083331)",1,2019-11-1 01:00:00
129,"LINESTRING (127.33987283333333 36.33154577083331, 127.36663523999997 36.33559364)",1,2019-11-1 01:00:00
130,"LINESTRING (127.36663523999997 36.33559364, 127.37000631428566 36.33390959999999)",4,2019-11-1 01:00:00
131,"LINESTRING (127.34771809090911 36.332609727272725, 127.34836184210526 36.339842736842094)",5,2019-11-1 01:00:00
132,"LINESTRING (127.33226133333336 36.331914958333336, 127.32490999999997 36.332260375000004)",4,2019-11-1 01:00:00
133,"LINESTRING (127.32490999999997 36.332260375000004, 127.31868888888887 36.33227811111111)",4,2019-11-1 01:00:00
134,"LINESTRING (127.31868888888887 36.33227811111111, 127.31934893333337 36.34154433333333)",1,2019-11-1 01:00:00
135,"LINESTRING (127.31934893333337 36.34154433333333, 127.31888511111111 36.35939388888889)",1,2019-11-1 01:00:00
136,"LINESTRING (127.32996172727272 36.35327427272727, 127.32883800000002 36.34882905882353)",2,2019-11-1 01:00:00
137,"LINESTRING (127.32883800000002 36.34882905882353, 127.33517964705882 36.34768929411764)",1,2019-11-1 01:00:00
138,"LINESTRING (127.33579033333334 36.33835288888889, 127.33226133333336 36.331914958333336)",2,2019-11-1 01:00:00
139,"LINESTRING (127.31868888888887 36.33227811111111, 127.32504891666669 36.34712991666667)",1,2019-11-1 01:00:00
140,"LINESTRING (127.32504891666669 36.34712991666667, 127.31934893333337 36.34154433333333)",3,2019-11-1 01:00:00
141,"LINESTRING (127.31934893333337 36.34154433333333, 127.32504891666669 36.34712991666667)",2,2019-11-1 01:00:00
142,"LINESTRING (127.32504891666669 36.34712991666667, 127.32883800000002 36.34882905882353)",2,2019-11-1 01:00:00
143,"LINESTRING (127.32593590625001 36.35955465625001, 127.31888511111111 36.35939388888889)",4,2019-11-1 01:00:00
144,"LINESTRING (127.35785920967743 36.359401596774205, 127.3473632 36.35295772941177)",1,2019-11-1 01:00:00
145,"LINESTRING (127.33785525185188 36.363540859259246, 127.3393509 36.3677)",5,2019-11-1 01:00:00
146,"LINESTRING (127.3473632 36.35295772941177, 127.3495807 36.360112300000004)",1,2019-11-1 01:00:00
147,"LINESTRING (127.34129909629631 36.35473077777777, 127.34497272277227 36.36096766336632)",2,2019-11-1 01:00:00
148,"LINESTRING (127.34497272277227 36.36096766336632, 127.3473632 36.35295772941177)",1,2019-11-1 01:00:00
149,"LINESTRING (127.35245284848486 36.35653766666667, 127.3495807 36.360112300000004)",1,2019-11-1 01:00:00
150,"LINESTRING (127.33517964705882 36.34768929411764, 127.33434280000002 36.343541800000004)",1,2019-11-1 01:00:00
151,"LINESTRING (127.32883800000002 36.34882905882353, 127.32504891666669 36.34712991666667)",3,2019-11-1 01:00:00
152,"LINESTRING (127.31934893333337 36.34154433333333, 127.32555340384621 36.36694562499999)",1,2019-11-1 01:00:00
153,"LINESTRING (127.32555340384621 36.36694562499999, 127.31888511111111 36.35939388888889)",1,2019-11-1 01:00:00
154,"LINESTRING (127.34836184210526 36.339842736842094, 127.34396742857143 36.34085042857142)",1,2019-11-1 01:00:00
155,"LINESTRING (127.36936118750002 36.357927275, 127.35785920967743 36.359401596774205)",1,2019-11-1 01:00:00
156,"LINESTRING (127.33625815789473 36.35537899999999, 127.3433113529412 36.36088533823528)",1,2019-11-1 01:00:00
157,"LINESTRING (127.3433113529412 36.36088533823528, 127.33625815789473 36.35537899999999)",1,2019-11-1 01:00:00
158,"LINESTRING (127.33785525185188 36.363540859259246, 127.33625815789473 36.35537899999999)",2,2019-11-1 01:00:00
159,"LINESTRING (127.36922869135809 36.345886629629646, 127.36677522727273 36.34103995454546)",3,2019-11-1 01:00:00
160,"LINESTRING (127.36677522727273 36.34103995454546, 127.36663523999997 36.33559364)",2,2019-11-1 01:00:00
161,"LINESTRING (127.34771809090911 36.332609727272725, 127.35783820000003 36.33271963333333)",1,2019-11-1 01:00:00
162,"LINESTRING (127.35783820000003 36.33271963333333, 127.34771809090911 36.332609727272725)",1,2019-11-1 01:00:00
163,"LINESTRING (127.3473632 36.35295772941177, 127.34497272277227 36.36096766336632)",1,2019-11-1 01:00:00
164,"LINESTRING (127.36936118750002 36.357927275, 127.35128737037039 36.359890814814825)",1,2019-11-1 01:00:00
165,"LINESTRING (127.34497272277227 36.36096766336632, 127.33204491346146 36.366280625)",1,2019-11-1 01:00:00
166,"LINESTRING (127.3393509 36.3677, 127.32555340384621 36.36694562499999)",1,2019-11-1 01:00:00
167,"LINESTRING (127.3402333333334 36.348848196078436, 127.33579033333334 36.33835288888889)",1,2019-11-1 01:00:00
168,"LINESTRING (127.33985586363637 36.34475077272727, 127.33226133333336 36.331914958333336)",1,2019-11-1 01:00:00
169,"LINESTRING (127.34771809090911 36.332609727272725, 127.36922869135809 36.345886629629646)",1,2019-11-1 01:00:00
170,"LINESTRING (127.34497272277227 36.36096766336632, 127.345701 36.367955)",1,2019-11-1 01:00:00
171,"LINESTRING (127.345701 36.367955, 127.34497272277227 36.36096766336632)",1,2019-11-1 01:00:00
172,"LINESTRING (127.31868888888887 36.33227811111111, 127.32490999999997 36.332260375000004)",1,2019-11-1 01:00:00
173,"LINESTRING (127.32490999999997 36.332260375000004, 127.33226133333336 36.331914958333336)",1,2019-11-1 01:00:00
174,"LINESTRING (127.35783820000003 36.33271963333333, 127.37000631428566 36.33390959999999)",1,2019-11-1 01:00:00
175,"LINESTRING (127.36677522727273 36.34103995454546, 127.37000631428566 36.33390959999999)",1,2019-11-1 01:00:00
176,"LINESTRING (127.33204491346146 36.366280625, 127.3393509 36.3677)",1,2019-11-1 01:00:00
177,"LINESTRING (127.3473051904762 36.348048261904765, 127.34396742857143 36.34085042857142)",1,2019-11-1 01:00:00
178,"LINESTRING (127.3473051904762 36.348048261904765, 127.33985586363637 36.34475077272727)",1,2019-11-1 01:00:00
179,"LINESTRING (127.35335435593221 36.35115381355932, 127.35245284848486 36.35653766666667)",1,2019-11-1 01:00:00
180,"LINESTRING (127.35245284848486 36.35653766666667, 127.35872946428572 36.35365057142857)",1,2019-11-1 01:00:00
181,"LINESTRING (127.35872946428572 36.35365057142857, 127.35785920967743 36.359401596774205)",1,2019-11-1 01:00:00
0,"LINESTRING (127.3494166836735 36.35983702040817, 127.35550895614027 36.35949145614033)",31,2019-11-1 02:00:00
1,"LINESTRING (127.35550895614027 36.35949145614033, 127.35805466666666 36.36223833333334)",8,2019-11-1 02:00:00
2,"LINESTRING (127.35805466666666 36.36223833333334, 127.35550895614027 36.35949145614033)",7,2019-11-1 02:00:00
3,"LINESTRING (127.35550895614027 36.35949145614033, 127.36210678651692 36.3584038089888)",25,2019-11-1 02:00:00
4,"LINESTRING (127.36210678651692 36.3584038089888, 127.36706299999999 36.36289666666667)",2,2019-11-1 02:00:00
5,"LINESTRING (127.36706299999999 36.36289666666667, 127.36909253333332 36.35760786666666)",2,2019-11-1 02:00:00
6,"LINESTRING (127.36909253333332 36.35760786666666, 127.36934572972974 36.35771732432433)",14,2019-11-1 02:00:00
7,"LINESTRING (127.36875980555553 36.34333322222223, 127.36917151562496 36.34752575000002)",12,2019-11-1 02:00:00
8,"LINESTRING (127.36866870967744 36.366462741935486, 127.36313375757577 36.36424833333333)",5,2019-11-1 02:00:00
9,"LINESTRING (127.36313375757577 36.36424833333333, 127.35805466666666 36.36223833333334)",4,2019-11-1 02:00:00
10,"LINESTRING (127.35550895614027 36.35949145614033, 127.34835923809521 36.3529122222222)",1,2019-11-1 02:00:00
11,"LINESTRING (127.34835923809521 36.3529122222222, 127.34230080530979 36.35482215044247)",5,2019-11-1 02:00:00
12,"LINESTRING (127.34230080530979 36.35482215044247, 127.34216014285714 36.35420285714285)",13,2019-11-1 02:00:00
13,"LINESTRING (127.34216014285714 36.35420285714285, 127.33737467741932 36.355725774193544)",9,2019-11-1 02:00:00
14,"LINESTRING (127.33737467741932 36.355725774193544, 127.33141451282049 36.35740851282051)",5,2019-11-1 02:00:00
15,"LINESTRING (127.33141451282049 36.35740851282051, 127.32584888888886 36.35979003703703)",7,2019-11-1 02:00:00
16,"LINESTRING (127.32584888888886 36.35979003703703, 127.31875861538464 36.359417)",4,2019-11-1 02:00:00
17,"LINESTRING (127.31875861538464 36.359417, 127.32584888888886 36.35979003703703)",4,2019-11-1 02:00:00
18,"LINESTRING (127.32584888888886 36.35979003703703, 127.33141451282049 36.35740851282051)",7,2019-11-1 02:00:00
19,"LINESTRING (127.33141451282049 36.35740851282051, 127.3373684776119 36.36318044776119)",1,2019-11-1 02:00:00
20,"LINESTRING (127.3373684776119 36.36318044776119, 127.33737467741932 36.355725774193544)",8,2019-11-1 02:00:00
21,"LINESTRING (127.36943554399998 36.35250892000001, 127.36432880392157 36.35481689215687)",24,2019-11-1 02:00:00
22,"LINESTRING (127.36432880392157 36.35481689215687, 127.35876181967213 36.353919213114736)",17,2019-11-1 02:00:00
23,"LINESTRING (127.35876181967213 36.353919213114736, 127.35362909433965 36.35110583018869)",16,2019-11-1 02:00:00
24,"LINESTRING (127.35362909433965 36.35110583018869, 127.34835923809521 36.3529122222222)",11,2019-11-1 02:00:00
25,"LINESTRING (127.34835923809521 36.3529122222222, 127.34216014285714 36.35420285714285)",8,2019-11-1 02:00:00
26,"LINESTRING (127.34216014285714 36.35420285714285, 127.34230080530979 36.35482215044247)",13,2019-11-1 02:00:00
27,"LINESTRING (127.34230080530979 36.35482215044247, 127.34386929787235 36.36098846099289)",15,2019-11-1 02:00:00
28,"LINESTRING (127.34386929787235 36.36098846099289, 127.3373684776119 36.36318044776119)",15,2019-11-1 02:00:00
29,"LINESTRING (127.3373684776119 36.36318044776119, 127.34386929787235 36.36098846099289)",23,2019-11-1 02:00:00
30,"LINESTRING (127.34386929787235 36.36098846099289, 127.34230080530979 36.35482215044247)",14,2019-11-1 02:00:00
31,"LINESTRING (127.3373684776119 36.36318044776119, 127.33141451282049 36.35740851282051)",1,2019-11-1 02:00:00
32,"LINESTRING (127.32580158653852 36.367312192307686, 127.33178862162166 36.36632301351349)",26,2019-11-1 02:00:00
33,"LINESTRING (127.33178862162166 36.36632301351349, 127.3373684776119 36.36318044776119)",26,2019-11-1 02:00:00
34,"LINESTRING (127.34386929787235 36.36098846099289, 127.3494166836735 36.35983702040817)",28,2019-11-1 02:00:00
35,"LINESTRING (127.36210678651692 36.3584038089888, 127.36313375757577 36.36424833333333)",4,2019-11-1 02:00:00
36,"LINESTRING (127.36313375757577 36.36424833333333, 127.36706299999999 36.36289666666667)",4,2019-11-1 02:00:00
37,"LINESTRING (127.3494166836735 36.35983702040817, 127.34386929787235 36.36098846099289)",16,2019-11-1 02:00:00
38,"LINESTRING (127.3373684776119 36.36318044776119, 127.33178862162166 36.36632301351349)",13,2019-11-1 02:00:00
39,"LINESTRING (127.33178862162166 36.36632301351349, 127.32580158653852 36.367312192307686)",13,2019-11-1 02:00:00
40,"LINESTRING (127.34216014285714 36.35420285714285, 127.34835923809521 36.3529122222222)",6,2019-11-1 02:00:00
41,"LINESTRING (127.34835923809521 36.3529122222222, 127.34767347368422 36.347763368421056)",1,2019-11-1 02:00:00
42,"LINESTRING (127.34767347368422 36.347763368421056, 127.3467343809524 36.341417857142865)",1,2019-11-1 02:00:00
43,"LINESTRING (127.3467343809524 36.341417857142865, 127.34923933333332 36.337118555555556)",3,2019-11-1 02:00:00
44,"LINESTRING (127.34923933333332 36.337118555555556, 127.35038621428573 36.332350642857136)",3,2019-11-1 02:00:00
45,"LINESTRING (127.35038621428573 36.332350642857136, 127.34708646428575 36.33038071428571)",8,2019-11-1 02:00:00
46,"LINESTRING (127.36917151562496 36.34752575000002, 127.36943554399998 36.35250892000001)",14,2019-11-1 02:00:00
47,"LINESTRING (127.34835923809521 36.3529122222222, 127.3494166836735 36.35983702040817)",5,2019-11-1 02:00:00
48,"LINESTRING (127.36210678651692 36.3584038089888, 127.36909253333332 36.35760786666666)",14,2019-11-1 02:00:00
49,"LINESTRING (127.36210678651692 36.3584038089888, 127.36432880392157 36.35481689215687)",11,2019-11-1 02:00:00
50,"LINESTRING (127.36432880392157 36.35481689215687, 127.36943554399998 36.35250892000001)",23,2019-11-1 02:00:00
51,"LINESTRING (127.36943554399998 36.35250892000001, 127.36917151562496 36.34752575000002)",13,2019-11-1 02:00:00
52,"LINESTRING (127.36432880392157 36.35481689215687, 127.36210678651692 36.3584038089888)",11,2019-11-1 02:00:00
53,"LINESTRING (127.36210678651692 36.3584038089888, 127.35550895614027 36.35949145614033)",10,2019-11-1 02:00:00
54,"LINESTRING (127.35550895614027 36.35949145614033, 127.3494166836735 36.35983702040817)",16,2019-11-1 02:00:00
55,"LINESTRING (127.32580158653852 36.367312192307686, 127.31864066666667 36.36643686666666)",6,2019-11-1 02:00:00
56,"LINESTRING (127.31864066666667 36.36643686666666, 127.32580158653852 36.367312192307686)",4,2019-11-1 02:00:00
